epoch,train_loss,train_utility,train_distill_loss,teacher_runtime_s_mean,val_loss,val_utility
1,55713351922.0565,-670343.4910736084,111425359616.75,3.145118792075664,21852.306396484375,-21852.306396484375
2,195842368.7227173,-45394.230529785156,391593960.375,3.0737218541326,281760.3734741211,-281760.3734741211
3,73422367.65844727,-38282.620697021484,146768177.5517578,3.078658391837962,5397.5810546875,-5397.5810546875
4,963433774172.1033,-2765599.8833465576,1926862033584.7969,3.130921486997977,25740.70068359375,-25740.70068359375
5,55430746634.49744,-1183202.2182388306,110859128663.96265,3.1324769103666767,186391.416015625,-186391.416015625
6,227016728704139.44,-29237339.095428467,454033390263105.0,3.121508468640968,43059.3818359375,-43059.3818359375
7,23476133.13104248,-68913.57440185547,46814438.390625,3.0739288724726066,2033.0126953125,-2033.0126953125
8,946200009634.2756,-2000927.5005493164,1892396062480.9023,3.063179190387018,4159.2484130859375,-4159.2484130859375
9,2006585.937133789,-2006585.937133789,0.0,0.0,290716.5234375,-290716.5234375
10,1034200.3691940308,-1034200.3691940308,0.0,0.0,31309.392578125,-31309.392578125
11,861806.0520324707,-861806.0520324707,0.0,0.0,319558.6669921875,-319558.6669921875
12,220679.04963207245,-220679.04963207245,0.0,0.0,11768.919189453125,-11768.919189453125
13,34523.72708129883,-34523.72708129883,0.0,0.0,11448.89990234375,-11448.89990234375
14,9514434.666065216,-9514434.666065216,0.0,0.0,2847.71044921875,-2847.71044921875
15,3043625.589450836,-3043625.589450836,0.0,0.0,2014.27490234375,-2014.27490234375
16,61010.95001220703,-61010.95001220703,0.0,0.0,1087.213607788086,-1087.213607788086
17,7527323.002189636,-7527323.002189636,0.0,0.0,309.06031799316406,-309.06031799316406
18,2055.429588317871,-2055.429588317871,0.0,0.0,290.25575256347656,-290.25575256347656
19,2364.8725595474243,-2364.8725595474243,0.0,0.0,686.4164428710938,-686.4164428710938
20,1650.442367553711,-1650.442367553711,0.0,0.0,583.8927459716797,-583.8927459716797
